Logo,Company,Industry
https://lh3.googleusercontent.com/proxy/zD81Bqcp0Pu_M3SySKRX00kCE-neonhmneT5fdUHPodaQdlDdWjdajut0Kn25_s0EGFxGZklTNC0oDA8aT2sdFW3jefRsYCBbU2Vg8UJ-blD0ak9L9tODkhWQUMzbDdzioE89kOjlsK22QCK3vZAyafsKOpJcA=w320-h320-k-no,Fuller & Thaler Asset Management Inc. ,Financial Services - Investment Management/Research
https://upload.wikimedia.org/wikipedia/commons/2/27/Genentech.svg,"Genentech, Inc.",Pharmaceutical Products
https://media.licdn.com/media/p/8/000/2b0/01e/0bbdfaa.png,"Glenfarne Group, LLC",Financial Services - Private Equity
https://upload.wikimedia.org/wikipedia/commons/6/61/Goldman_Sachs.svg,Goldman Sachs Group Inc.,Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/commons/2/2f/Google_2015_logo.svg,Google Inc.,eCommerce and Internet
http://ih.constantcontact.com/fs075/1102092852132/img/6.jpg?a=1112050828178,"Grace Matthews, Inc.",Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/en/a/a3/HIG_Capital_Logo.png,H.I.G. Capital ,Financial Services - Private Equity
https://upload.wikimedia.org/wikipedia/en/7/79/Hasbro.png,Hasbro Inc.,Manufacturing
http://hbmholdings.com/wp-content/themes/blankslate/img/logo.png,HBM Holdings Company,Financial Services - Private Equity
https://upload.wikimedia.org/wikipedia/commons/e/ec/2017_Houlihan_Lokey_logo_small.jpg,Houlihan Lokey,Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/commons/5/51/IBM_logo.svg,IBM Global Business Services,Consulting
https://upload.wikimedia.org/wikipedia/commons/c/c9/Intel-logo.svg,Intel Corporation,Technology - Hardware
https://d2lw8dxaugugni.cloudfront.net/advisor_content/img/4a5/e98/20f/353/496/e5e/15d/534/471/e52/c7/17347.jpg,J.P. Morgan Securities LLC,Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/commons/0/07/J_P_Morgan_Chase_Logo_2008_1.svg,JPMorgan Chase & Co.,Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/commons/3/31/KPMG.svg,KPMG LLP,Consulting
https://upload.wikimedia.org/wikipedia/commons/5/5c/L.E.K._Consulting.png,L.E.K. Consulting,Consulting
https://upload.wikimedia.org/wikipedia/commons/9/9d/L%27Or%C3%A9al_logo.svg,L'Oreal USA Inc,Consumer Products
https://upload.wikimedia.org/wikipedia/commons/e/e5/Lazard_Corporate_Logo.png,Lazard Freres & Co. LLC,Financial Services - Investment Banking/Brokerage
https://upload.wikimedia.org/wikipedia/en/2/23/Liberty-mutual-logo.png,Liberty Mutual Group,Financial Services - Insurance
http://www.lincolninternational.com/wp-content/uploads/LILogo_header.gif,Lincoln International LLC,Financial Services - Investment Banking/Brokerage
https://foodanddrugconference.com/wp-content/uploads/2013/08/LSV-Asset-Management-Logo.jpg,LSV Asset Management,Financial Services - Investment Management/Research
